,peak_severity,total_death
population_distribution_0,0.0027708125141798954,0.0025499173796539455
population_distribution_1,0.003039480386675987,0.002478404462310115
population_distribution_2,0.003164842872486202,0.0023874524540619087
population_distribution_3,0.0029325846599523816,0.0023295033349966846
population_distribution_4,0.002905879579805574,0.0023545881273547868
gender_balance,0.0030958196398343913,0.0024017785978361133
time_latent_mean,0.006638741758583329,0.00225372730417747
time_latent_max,0.005494212717514956,0.002386520030225029
time_recovery_asymp_mean,0.0029928344572648564,0.0024051253589303942
time_recovery_asymp_max,0.003004940138829309,0.0029564114258659037
time_recovery_symp_mean,0.002805029982000184,0.0026451783689745182
time_recovery_symp_max,0.0028261561436056554,0.0022550820586025424
time_recovery_syv_mean,0.008082389721768552,0.002422486291042367
time_recovery_syv_max,0.005648852104219919,0.0023962679318753548
time_symptoms_onset_mean,0.0037924353783862753,0.0023912863900930528
time_symptoms_onset_max,0.0039121564803563545,0.002201872471447758
time_decline_mean,0.003849436355226989,0.00221989691661814
time_decline_max,0.003904027184361113,0.0023582462094715747
time_death_mean,0.07959123668798851,0.002443525033869351
time_death_max,0.025159958518865513,0.0023252128172426842
time_test_administered_mean,0.0025143251031113207,0.0018692354048711914
time_test_administered_max,0.0029767142143181918,0.002085825370886436
time_test_result_mean,0.0024589529689907257,0.001832771168296973
time_test_result_max,0.002810502218298735,0.002256028883623421
test_accuracy,0.00278292773931485,0.0024874723218658527
exposure_threshold,0.0036313590152904775,0.002732315461309343
exposure_probability4unit_contact,0.0839717647506122,0.09559032806953083
exposure_exponent,0.16311857519430872,0.12125970721557151
random_infection_rate,0.5601230515138489,0.7217238331393947
