,alert_policy_prioritised,no_isolation_tested_negative,symptomatic_isolation_time_mean,symptomatic_start_of_isolation_is_absolute,severely_symptomatic_isolation_time_mean,severely_symptomatic_start_of_isolation_is_absolute,alerted_isolation_time_mean,alerted_start_of_isolation_is_absolute,requested_test_isolation_time_mean,requested_test_start_of_isolation_is_absolute,awaiting_result_isolation_time_mean,awaiting_result_start_of_isolation_is_absolute,tested_positive_isolation_time_mean,tested_positive_start_of_isolation_is_absolute,tested_negative_isolation_time_mean,tested_negative_start_of_isolation_is_absolute,alert_by_tested_positive,symptomatic_recent_contacts_lookbacktime,severely_symptomatic_recent_contacts_lookbacktime,E[person_days_in_isolation],E[total_infections]
0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,9.0,0.07811514285714286,3713.1725899999997
1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,8.0,0.07855615079365079,3682.0007199999995
2,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,9.0,0.08049155952380951,3678.24471
3,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,9.0,0.08311472619047619,3660.4056100000003
4,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,8.0,8.0,0.08440027777777777,3653.52243
5,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,6.0,0.08626178968253967,3640.3289099999997
6,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,11.0,12.0,0.09164433333333333,3633.46804
7,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.09811676587301588,3621.80732
8,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,0.09815828174603175,3614.48609
9,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,13.0,0.10710472619047619,3610.17294
10,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,6.0,94.86293088167388,3605.7108000000003
11,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1873.4879990284992,3595.62748
12,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0,4.0,4.0,6398.710421242424,3590.07047
13,0.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,0.0,4.0,4.0,8632.020674211402,3583.5134199999998
14,0.0,0.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,0.0,9.0,11.0,9802.160375396104,3581.03346
15,0.0,1.0,6.0,1.0,6.0,1.0,6.0,1.0,6.0,1.0,6.0,1.0,6.0,1.0,6.0,1.0,1.0,8.0,1.0,10983.69548693759,3575.4384400000004
16,0.0,1.0,8.0,1.0,8.0,1.0,8.0,1.0,8.0,1.0,8.0,1.0,8.0,1.0,8.0,1.0,1.0,7.0,9.0,14507.39649260534,3575.15962
17,1.0,0.0,9.0,1.0,9.0,1.0,9.0,1.0,9.0,1.0,9.0,1.0,9.0,1.0,9.0,1.0,1.0,7.0,10.0,16610.881657098875,3561.92491
18,1.0,0.0,12.0,1.0,12.0,1.0,12.0,1.0,12.0,1.0,12.0,1.0,12.0,1.0,12.0,1.0,0.0,7.0,10.0,28625.659858598847,3558.8694
