,alert_policy_prioritised,no_isolation_tested_negative,symptomatic_isolation_time_mean,symptomatic_start_of_isolation_is_absolute,severely_symptomatic_isolation_time_mean,severely_symptomatic_start_of_isolation_is_absolute,alerted_isolation_time_mean,alerted_start_of_isolation_is_absolute,requested_test_isolation_time_mean,requested_test_start_of_isolation_is_absolute,awaiting_result_isolation_time_mean,awaiting_result_start_of_isolation_is_absolute,tested_positive_isolation_time_mean,tested_positive_start_of_isolation_is_absolute,tested_negative_isolation_time_mean,tested_negative_start_of_isolation_is_absolute,alert_by_tested_positive,symptomatic_recent_contacts_lookbacktime,severely_symptomatic_recent_contacts_lookbacktime,Q99[person_days_in_isolation],Q99[total_infections]
0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,6.0,0.5826642063492061,4643.77
1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,3.0,0.5883490476190476,4629.9655
2,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,11.0,7.0,0.606553095238095,4625.450500000001
3,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,8.0,1.0,0.6140695238095235,4624.1582
4,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,8.0,13.0,0.6181023809523809,4622.551200000001
5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,3.0,0.6520549999999999,4617.857300000001
6,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,13.0,6.0,0.6665804761904758,4611.9989
7,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,12.0,0.678590833333333,4610.6688
8,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,2.0,0.7198167857142854,4610.2579
9,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.7611942857142855,4608.1346
10,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,2.0,0.7954432142857139,4603.9337
11,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,6.0,26.77189142857143,4603.7787
12,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,2.0,26.989736190476187,4602.0096
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,2625.7734289285713,4594.601500000001
14,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,13.0,2658.3885458333334,4594.078100000001
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,2678.6230859523803,4592.9582
16,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,7.0,2681.957649999999,4573.0932
